date,state,cases,deaths,fracpos
2020-03-01,Michigan,9,0,0.865979381443299
2020-03-02,Michigan,9,0,0.8758620689655172
2020-03-03,Michigan,16,0,0.9
2020-03-04,Michigan,18,0,0.8971119133574006
2020-03-05,Michigan,20,0,0.8852459016393444
2020-03-06,Michigan,26,0,0.8766233766233766
2020-03-07,Michigan,30,0,0.8536759457530336
2020-03-08,Michigan,40,0,0.8783382789317509
2020-03-09,Michigan,86,0,0.8761384335154827
2020-03-10,Michigan,104,0,0.7914028657114296
2020-03-11,Michigan,139,0,0.7032242305813385
2020-03-12,Michigan,205,0,0.6517073170731706
2020-03-13,Michigan,243,0,0.5909158822650531
2020-03-14,Michigan,251,0,0.546538792573466
2020-03-15,Michigan,284,0,0.5736380424746075
2020-03-16,Michigan,453,0,0.5461523513408473
2020-03-17,Michigan,460,0,0.5178705951284841
2020-03-18,Michigan,520,0,0.4719718309859155
2020-03-19,Michigan,479,3,0.4150017125242608
2020-03-20,Michigan,635,0,0.3880516947086077
2020-03-21,Michigan,516,2,0.37254376563058234
2020-03-22,Michigan,555,3,0.3629400864731316
2020-03-23,Michigan,691,7,0.30991151024704766
2020-03-24,Michigan,652,9,0.2954619750958423
2020-03-25,Michigan,619,19,0.2828383549830216
2020-03-26,Michigan,707,17,0.2776222216715811
2020-03-27,Michigan,892,32,0.27111669905132013
2020-03-28,Michigan,628,0,0.26299785229761624
2020-03-29,Michigan,723,40,0.2622686723453956
2020-03-30,Michigan,891,52,0.2586907449209932
2020-03-31,Michigan,974,75,0.2556889609561463
2020-04-01,Michigan,1013,78,0.26247634596118885
2020-04-02,Michigan,1229,80,0.27534933374001563
2020-04-03,Michigan,1135,62,0.2782183354331876
2020-04-04,Michigan,1143,61,0.280247094085825
2020-04-05,Michigan,1172,77,0.2742866331945611
2020-04-06,Michigan,1283,110,0.27432494118473266
2020-04-07,Michigan,973,118,0.2973661852166525
2020-04-08,Michigan,766,114,0.30057760525973665
2020-04-09,Michigan,915,117,0.30233932165211136
2020-04-10,Michigan,1279,205,0.29199251018834677
2020-04-11,Michigan,1210,111,0.30585572286192303
2020-04-12,Michigan,645,95,0.2690428026709153
2020-04-13,Michigan,997,115,0.25819320214669056
2020-04-14,Michigan,1366,166,0.25548356739539596
2020-04-15,Michigan,1058,153,0.26759630666767575
2020-04-16,Michigan,1204,172,0.23643498118426556
2020-04-17,Michigan,760,134,0.2186100921406083
2020-04-18,Michigan,768,81,0.20027777777777778
2020-04-19,Michigan,633,83,0.183819607424792
2020-04-20,Michigan,576,77,0.1732824330018002
2020-04-21,Michigan,967,232,0.16585728021810836
2020-04-22,Michigan,999,113,0.1555627801128579
2020-04-23,Michigan,1325,164,0.14706856575024843
2020-04-24,Michigan,1350,108,0.13607499558299296
2020-04-25,Michigan,562,189,0.12831143552311436
2020-04-26,Michigan,575,41,0.11491511901068216
2020-04-27,Michigan,432,92,0.1111170250514513
2020-04-28,Michigan,1052,160,0.1136943084062437
2020-04-29,Michigan,1137,103,0.10419378475065728
2020-04-30,Michigan,980,119,0.0906571869882099
2020-05-01,Michigan,977,77,0.08364157293151016
2020-05-02,Michigan,851,154,0.07372986369268898
2020-05-03,Michigan,547,29,0.07014558651171329
2020-05-04,Michigan,196,0,0.06606643143934786
2020-05-05,Michigan,447,130,0.06535002997402252
2020-05-06,Michigan,657,71,0.0636366804921404
2020-05-07,Michigan,592,93,0.0561544905858828
2020-05-08,Michigan,680,50,0.04908903170474358
2020-05-09,Michigan,430,133,0.04866918335165098
